,vel x,vel y,vel z
33,0.011024991652915832,-0.5000465513014476,0.3171137939482979
34,-0.022065774111341897,-0.45505124802226066,0.27647929264649085
35,-0.011287584016819225,-0.36800002166359647,0.19534080945464685
36,-0.00909623147105031,-0.3380459249762843,0.14780215684841344
37,-0.015536729852571719,-0.2992087201367384,0.10889806860973801
38,-0.0018948491077843451,-0.2680412873988761,0.06798916415565058
39,-0.013360799233227706,-0.20195241428952124,0.05264204112502999
40,-0.009644956206457563,-0.11806305233820058,0.03542054052838821
41,-0.0073488415046486216,-0.057365675745654064,0.01587345482584933
42,0.007108486682995269,-0.007787727560438339,0.009663504802934746
43,-0.008117582852209449,0.04522741231309005,-0.028536018863993835
44,-0.005102385450430168,0.10161728309435436,-0.032714606864754414
45,0.00354490733277551,0.1435659336124298,-0.03988552368445197
46,0.00807125508410422,0.19774964924116878,-0.07579223258574547
47,-0.019029536650561348,0.2590884024537703,-0.14191325363011756
48,-0.018065979546982216,0.3132659119129827,-0.17523861187638343
49,-0.01116219148705175,0.3948348070728955,-0.18339177901176684
50,-0.008498288567389057,0.3849789620666268,-0.27633551542082463
51,-0.00357146788611634,0.44937552202413317,-0.3569547559632468
52,-0.02148920197004176,0.5174189311661017,-0.4299315961588128
53,-0.026164916173214092,0.5627905866594398,-0.5014687436768894
54,-0.01122955684156311,0.5901997707920589,-0.6109494087716707
55,0.03525242906543368,0.618701806374636,-0.7101675672629735
56,-0.04056557474479086,0.635236384663271,-0.7336577265853045
57,0.013842100994385072,0.08777800034534844,0.13769514929913845
58,0.015194487432701754,0.028708530961041562,0.023832370167004846
59,0.003248792435237985,-0.031567629246774614,-0.09548988266946501
60,0.03567153549762809,-0.07715332267787721,-0.018489980474263947
61,-0.0036787424927553517,0.005967989226148165,0.00483921108755743
62,-0.0015824385166120013,0.0023615211323145327,0.001413351334165723
63,-0.01005349588200646,0.01817407601639108,-0.03612013121409749
64,-0.01308241125185297,0.01401230311773935,-0.007293462486220575
65,-0.01856544807620125,0.027168788078078182,-0.025126746965868904
66,-0.01499932348602133,-0.024435155665262977,-0.00033621252567983886
67,-0.0013619622911471706,-0.00201200558704287,0.0002084453987476996
68,-0.0008023307236097794,0.003278040657057612,-0.003458162047128857
69,-0.0037188540136091075,0.020872109372330326,0.06924552030775066
70,-0.013508369039908362,-0.01626366793026051,0.007331018586962609
71,0.002093347311581116,-0.008161421554715838,0.0031639614704311765
72,0.0017931639632810207,-0.013828921606896286,0.008611715774483674
73,0.00923123395870483,1.1163075559086563e-05,0.0002493517866339577
74,0.021886140611241858,0.026386524278180716,-0.010290340527607949
75,0.008645770491178897,-0.009582851671471986,0.007894479856278669
76,0.01724562937370636,-0.02055535056432008,0.008125623258195252
77,0.018043865719114625,-0.021696649945471186,0.007044682134634318
78,0.021392175617049876,-0.0226781708290813,0.012469108569209558
79,0.02491723784150836,-0.024947989230691026,0.0164318585979513
80,0.024321914679885266,-0.03125385265431557,0.004127496614126706
81,-0.0041794329262208555,-0.00791806122724901,0.0059927846748600265
82,-0.00199945245661455,0.0009614720042962665,0.0014969138470198005
83,-0.006056449808241346,0.00667227993638869,-0.0028434433604436864
84,-0.016533467771045036,0.019411655246530213,-0.008180746025770617
85,-0.020707888771004046,0.03504109558104554,-0.023346442351291116
86,-0.007354912905674331,-0.006281537646519732,0.008913535951952926
87,-0.00726666821933619,-0.021931191771584042,0.014791050653015055
88,-0.015187210057135553,-0.025141209300458548,-0.0017048488739156119
89,-0.020432268632541238,-0.035734620418106385,-0.005859172023293523
90,0.005775971727426727,0.016815573334301587,0.0032223908534066356
91,-0.013522050943305686,-0.01897993178302993,0.003283883925187237
92,0.006579924599708599,-0.023993705110580105,0.008897816347158582
93,0.005178385738626442,-0.012395536228800944,-0.01281759084726571
94,0.002488107840867924,-0.016834920908540687,0.018872960379804227
95,0.017322363775167708,0.019917037039130368,-0.03011340411560489
96,0.006881764958573689,-0.008660155425131965,0.003069391871161599
97,0.013046864547436988,-0.02491762684876315,0.0012516179463552303
98,0.01865786668216664,-0.029141372439031654,-0.005218098716447305
99,0.00546418308611742,-0.019153367128073154,0.05095869748457986
